Tid	Kanal A
(ms)	(V)

6.39999984	2.62487700
6.44999984	2.62487700
6.49999984	2.62487700
6.54999983	2.71868800
6.59999983	2.62487700
6.64999983	2.62487700
6.69999983	2.71868800
6.74999983	2.62487700
6.79999983	2.62487700
6.84999983	2.71868800
6.89999983	2.62487700
6.94999982	2.71868800
6.99999982	2.62487700
7.04999982	2.62487700
7.09999982	2.71868800
7.14999982	2.62487700
7.19999982	2.62487700
7.24999982	2.71868800
7.29999982	2.71868800
7.34999981	2.71868800
7.39999981	2.71868800
7.44999981	2.62487700
7.49999981	2.62487700
7.54999981	2.71868800
7.59999981	2.62487700
7.64999981	2.62487700
7.69999981	2.71868800
7.74999980	2.71868800
7.79999980	2.62487700
7.84999980	2.62487700
7.89999980	2.62487700
7.94999980	2.62487700
7.99999980	2.62487700
8.04999980	2.62487700
8.09999980	2.62487700
8.14999979	2.71868800
8.19999979	2.62487700
8.24999979	2.62487700
8.29999979	2.71868800
8.34999979	2.62487700
8.39999979	2.62487700
8.44999979	2.62487700
8.49999979	2.62487700
8.54999978	2.62487700
8.59999978	2.62487700
8.64999978	2.62487700
8.69999978	2.62487700
8.74999978	2.71868800
8.79999978	2.71868800
8.84999978	2.71868800
8.89999978	2.62487700
8.94999977	2.71868800
8.99999977	2.62487700
9.04999977	2.62487700
9.09999977	2.62487700
9.14999977	2.71868800
9.19999977	2.71868800
9.24999977	2.71868800
9.29999977	2.71868800
9.34999976	2.71868800
9.39999976	2.71868800
9.44999976	2.62487700
9.49999976	2.62487700
9.54999976	2.71868800
9.59999976	2.71868800
9.64999976	2.71868800
9.69999975	2.62487700
9.74999975	2.62487700
9.79999975	2.71868800
9.84999975	2.62487700
9.89999975	2.62487700
9.94999975	2.71868800
9.99999975	2.62487700
10.04999975	2.62487700
10.09999974	2.62487700
10.14999974	2.71868800
10.19999974	2.62487700
10.24999974	2.62487700
10.29999974	2.62487700
10.34999974	2.71868800
10.39999974	2.62487700
10.44999974	2.71868800
10.49999973	2.62487700
10.54999973	2.62487700
10.59999973	2.71868800
10.64999973	2.62487700
10.69999973	2.71868800
10.74999973	2.71868800
10.79999973	2.62487700
10.84999973	2.62487700
10.89999972	2.71868800
10.94999972	2.62487700
10.99999972	2.71868800
11.04999972	2.71868800
11.09999972	2.62487700
11.14999972	2.62487700
11.19999972	2.71868800
11.24999972	2.62487700
11.29999971	2.62487700
11.34999971	2.62487700
11.39999971	2.71868800
11.44999971	2.62487700
11.49999971	2.62487700
11.54999971	2.71868800
11.59999971	2.71868800
11.64999971	2.62487700
11.69999970	2.71868800
11.74999970	2.71868800
11.79999970	2.62487700
11.84999970	2.62487700
11.89999970	2.62487700
11.94999970	2.71868800
11.99999970	2.62487700
12.04999970	2.62487700
12.09999969	2.71868800
12.14999969	2.62487700
12.19999969	2.62487700
12.24999969	2.62487700
12.29999969	2.62487700
12.34999969	2.71868800
12.39999969	2.62487700
12.44999969	2.71868800
12.49999968	2.62487700
12.54999968	2.62487700
12.59999968	2.62487700
12.64999968	2.62487700
12.69999968	2.62487700
12.74999968	2.71868800
12.79999968	2.62487700
12.84999968	2.71868800
12.89999967	2.71868800
12.94999967	2.71868800
12.99999967	2.62487700
13.04999967	2.62487700
13.09999967	2.62487700
13.14999967	2.62487700
13.19999967	2.71868800
13.24999967	2.71868800
13.29999966	2.62487700
13.34999966	2.71868800
13.39999966	2.62487700
13.44999966	2.71868800
13.49999966	2.62487700
13.54999966	2.71868800
13.59999966	2.71868800
13.64999966	2.62487700
13.69999965	2.62487700
13.74999965	2.62487700
13.79999965	2.62487700
13.84999965	2.62487700
13.89999965	2.71868800
13.94999965	2.62487700
13.99999965	2.71868800
14.04999965	2.62487700
14.09999964	2.62487700
14.14999964	2.62487700
14.19999964	2.71868800
14.24999964	2.62487700
14.29999964	2.62487700
14.34999964	2.62487700
14.39999964	2.71868800
14.44999963	2.71868800
14.49999963	2.71868800
14.54999963	2.62487700
14.59999963	2.62487700
14.64999963	2.71868800
14.69999963	2.62487700
14.74999963	2.71868800
14.79999963	2.62487700
14.84999962	2.71868800
14.89999962	2.62487700
14.94999962	2.62487700
14.99999962	2.62487700
15.04999962	2.62487700
15.09999962	2.62487700
15.14999962	2.62487700
15.19999962	2.62487700
15.24999961	2.71868800
15.29999961	2.71868800
15.34999961	2.71868800
15.39999961	2.62487700
15.44999961	2.62487700
15.49999961	2.71868800
15.54999961	2.62487700
15.59999961	2.62487700
15.64999960	2.62487700
15.69999960	2.71868800
15.74999960	2.62487700
15.79999960	2.71868800
15.84999960	2.71868800
15.89999960	2.71868800
15.94999960	2.62487700
15.99999960	2.62487700
16.04999959	2.62487700
16.09999959	2.71868800
16.14999959	2.71868800
16.19999959	2.62487700
16.24999959	2.71868800
16.29999959	2.71868800
16.34999959	2.71868800
16.39999959	2.62487700
16.44999958	2.62487700
16.49999958	2.71868800
16.54999958	2.71868800
16.59999958	2.71868800
16.64999958	2.62487700
16.69999958	2.71868800
16.74999958	2.71868800
16.79999958	2.62487700
16.84999957	2.71868800
16.89999957	2.62487700
16.94999957	2.71868800
16.99999957	2.62487700
17.04999957	2.71868800
17.09999957	2.62487700
17.14999957	2.62487700
17.19999957	2.62487700
17.24999956	2.62487700
17.29999956	2.71868800
17.34999956	2.71868800
17.39999956	2.62487700
17.44999956	2.71868800
17.49999956	2.62487700
17.54999956	2.62487700
