Tid	Kanal A
(ms)	(V)

0.00000000	2.24993800
0.05000000	2.34375000
0.10000000	2.34375000
0.15000000	2.34375000
0.19999999	2.34375000
0.24999999	2.34375000
0.29999999	2.34375000
0.34999999	2.34375000
0.39999999	2.34375000
0.44999999	2.34375000
0.49999999	2.34375000
0.54999999	2.34375000
0.59999998	2.24993800
0.64999998	2.34375000
0.69999998	2.24993800
0.74999998	2.34375000
0.79999998	2.34375000
0.84999998	2.34375000
0.89999998	2.34375000
0.94999998	2.34375000
0.99999997	2.34375000
1.04999997	2.34375000
1.09999997	2.34375000
1.14999997	2.34375000
1.19999997	2.34375000
1.24999997	2.34375000
1.29999997	2.34375000
1.34999997	2.24993800
1.39999996	2.34375000
1.44999996	2.34375000
1.49999996	2.34375000
1.54999996	2.34375000
1.59999996	2.34375000
1.64999996	2.34375000
1.69999996	2.34375000
1.74999996	2.34375000
1.79999995	2.34375000
1.84999995	2.34375000
1.89999995	2.34375000
1.94999995	2.34375000
1.99999995	2.24993800
2.04999995	2.34375000
2.09999995	2.34375000
2.14999995	2.34375000
2.19999994	2.34375000
2.24999994	2.34375000
2.29999994	2.34375000
2.34999994	2.34375000
2.39999994	2.34375000
2.44999994	2.34375000
2.49999994	2.34375000
2.54999994	2.34375000
2.59999993	2.34375000
2.64999993	2.34375000
2.69999993	2.43725400
2.74999993	2.34375000
2.79999993	2.34375000
2.84999993	2.24993800
2.89999993	2.34375000
2.94999993	2.34375000
2.99999992	2.34375000
3.04999992	2.34375000
3.09999992	2.34375000
3.14999992	2.34375000
3.19999992	2.34375000
3.24999992	2.34375000
3.29999992	2.34375000
3.34999992	2.24993800
3.39999991	2.34375000
3.44999991	2.24993800
3.49999991	2.34375000
3.54999991	2.24993800
3.59999991	2.34375000
3.64999991	2.34375000
3.69999991	2.34375000
3.74999991	2.34375000
3.79999990	2.34375000
3.84999990	2.34375000
3.89999990	2.34375000
3.94999990	2.34375000
3.99999990	2.34375000
4.04999990	2.34375000
4.09999990	2.34375000
4.14999990	2.34375000
4.19999989	2.34375000
4.24999989	2.34375000
4.29999989	2.34375000
4.34999989	2.34375000
4.39999989	2.34375000
4.44999989	2.34375000
4.49999989	2.34375000
4.54999989	2.34375000
4.59999988	2.34375000
4.64999988	2.24993800
4.69999988	2.34375000
4.74999988	2.34375000
4.79999988	2.34375000
4.84999988	2.34375000
4.89999988	2.34375000
4.94999987	2.34375000
4.99999987	2.34375000
5.04999987	2.34375000
5.09999987	2.34375000
5.14999987	2.34375000
5.19999987	2.34375000
5.24999987	2.34375000
5.29999987	2.34375000
5.34999986	2.34375000
5.39999986	2.34375000
5.44999986	2.34375000
5.49999986	2.34375000
5.54999986	2.34375000
5.59999986	2.34375000
5.64999986	2.34375000
5.69999986	2.34375000
5.74999985	2.34375000
5.79999985	2.34375000
5.84999985	2.34375000
5.89999985	2.24993800
5.94999985	2.34375000
5.99999985	2.34375000
6.04999985	2.34375000
6.09999985	2.34375000
6.14999984	2.34375000
6.19999984	2.34375000
6.24999984	2.34375000
6.29999984	2.34375000
6.34999984	2.24993800
